"TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","IncomePerCap"
4524,2186,2338,0.7,95.4,0,0,3.5,0,3368,2.9,3.5,55.6,12.2,21.9,5.3,5,78.1,5.3,11.2,0,0,5.3,32,2284,85.6,9.6,4.7,0,5.5,40357
2920,1503,1417,45.4,27.8,0.7,0,22.9,0.2,1740,11.8,22.7,35.6,24.6,21.2,7.1,11.4,36.3,12.4,37.7,9.3,1.8,2.5,38.6,1425,79.9,13.7,6.4,0,13.4,27928
5019,2163,2856,9.8,79.3,1.3,0,8.1,0,3955,13.6,24.5,60.3,13.3,21.3,3,2.1,85.8,4.7,0.5,0.8,1.7,6.6,31,2658,76.6,6.7,15.1,1.6,7.1,60840
5888,3140,2748,33.3,61.3,2.3,0.8,0.2,0,4053,29.4,44.9,21.4,17.6,20.8,14.1,26.2,78.8,15.8,0,0,3.8,1.5,15.3,2295,86.1,12,1.9,0,5.6,14725
3079,1533,1546,2.9,94.2,0,0.6,1.6,0,2273,7.1,9.3,28.7,13.4,25.1,15.1,17.7,77.4,8.7,0,4.3,2.4,7.3,17,1452,80.3,9.8,9.5,0.4,1.9,25644
3106,1423,1683,22.8,58.1,12.1,0,1.1,0.1,2076,11.9,26.1,10.5,22.5,25.6,24.4,17.1,51.7,16,26.3,6,0,0,35.4,1612,89.3,8.8,1.9,0,7.8,23450
8133,3980,4153,13.6,79,0.9,0,4.5,0,6015,5.2,3.4,54.7,7.8,22.2,6.2,9.1,86.5,6.3,0.5,0,2.3,4.4,30.6,4133,83.1,9,7.9,0,4.1,45106
4089,2015,2074,71,9.6,12.3,0.8,6,0,2256,18.5,25,31,28.6,12.2,13.1,15.1,76,9,4.6,7.2,3.2,0,32,1850,81.6,12.4,4.5,1.5,4.1,20911
2654,1260,1394,99.7,0,0.3,0,0,0,1908,51.9,68.4,44,19.8,24.2,7,5.1,79.8,9.4,0,2.6,7.9,0.2,25,530,66,34,0,0,8.8,9220
7464,3663,3801,3.4,72.4,18.8,0,1.1,0,6197,14.9,15.7,31.1,23.9,20.5,7.6,16.9,78,9.8,0.5,4,2.4,5.3,23.5,3200,77,18.3,4.2,0.5,4.6,22923
3164,1670,1494,18.5,62.8,1.1,0.7,6.8,7,1715,10.6,16,28.2,12.1,20.7,12.2,26.8,75.9,13.9,0.4,1.3,5.4,3.1,21.6,1426,84,13.7,2,0.4,2.4,16708
5040,2466,2574,78.2,13.8,7.7,0.1,0,0,2247,36.8,58.3,8.1,23.2,18.2,24.2,26.3,80.7,15.8,0.1,1.3,0.7,1.5,17.3,2232,86.8,3.5,9.1,0.5,4.9,13261
3620,1374,2246,0.5,26.1,70.8,0,0,0,3541,19.5,0,44.2,16.3,26.2,6.5,6.6,73.1,6.2,9.6,0.7,3.5,7,28,2016,79.5,14.9,5.7,0,0.7,35320
